state_abbrev,city,total_incidents,deaths,deaths_over_incidents,injured,injuries_over_incidents,total_casualties,casualties_over_incidents,armed_robbery,armed_robberies_over_incidents,gang_involvement,gang_incidents_over_incidents,home_invasion,home_invasions_over_incidents,domestic_violence,domestic_violence_incidents_over_incidents,road_rage,road_rage_incidents_over_incidents,mass_shooting,mass_shootings_over_incidents,teen_incidents,teen_incidents_over_incidents,drug_raid,drug_raids_over_incidents,suicide,suicides_over_incidents
CA,Compton,109,86,0.788990826,56,0.513761468,142,1.302752294,1,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
IL,Chicago (Englewood),542,139,0.256457565,548,1.011070111,687,1.267527675,13,0,70,0,3,0,7,0,0,0,8,0,35,0,0,0,0,0
FL,Miami Gardens,127,45,0.354330709,115,0.905511811,160,1.25984252,11,0,9,0,4,0,2,0,2,0,4,0,4,0,1,0,0,0
GA,Decatur,147,82,0.557823129,103,0.700680272,185,1.258503401,23,0,2,0,8,0,5,0,3,0,3,0,1,0,0,0,2,0
IL,Chicago (Chicago Lawn),67,16,0.23880597,68,1.014925373,84,1.253731343,1,0,10,0,1,0,1,0,0,0,0,0,7,0,0,0,1,0
CA,Vallejo,92,53,0.576086957,60,0.652173913,113,1.22826087,2,0,1,0,2,0,3,0,0,0,6,0,0,0,3,0,3,0
GA,Atlanta (College Park),55,36,0.654545455,31,0.563636364,67,1.218181818,5,0,1,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0
IL,Chicago (Roseland),159,41,0.257861635,152,0.955974843,193,1.213836478,5,0,20,0,1,0,1,0,0,0,2,0,9,0,0,0,0,0
AL,Anniston,62,35,0.564516129,40,0.64516129,75,1.209677419,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
PA,Chester,171,62,0.362573099,144,0.842105263,206,1.204678363,5,0,2,0,3,0,3,0,1,0,5,0,1,0,4,0,0,0
GA,Dekalb County,52,28,0.538461538,34,0.653846154,62,1.192307692,10,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,1,0
SC,Walterboro,55,16,0.290909091,49,0.890909091,65,1.181818182,1,0,1,0,2,0,2,0,0,0,1,0,1,0,0,0,1,0
TX,Waco,91,39,0.428571429,68,0.747252747,107,1.175824176,9,0,3,0,5,0,5,0,0,0,1,0,0,0,3,0,4,0
KS,Kansas City,229,138,0.602620087,130,0.56768559,268,1.170305677,4,0,1,0,6,0,6,0,2,0,4,0,1,0,1,0,5,0
IL,Chicago,10814,2104,0.194562604,10427,0.964213057,12531,1.158775661,504,0,1386,0,64,0,139,0,20,0,104,0,801,0,27,0,34,0
AZ,Glendale,118,75,0.63559322,61,0.516949153,136,1.152542373,5,0,0,0,5,0,4,0,3,0,2,0,1,0,0,0,5,0
GA,Lawrenceville,54,32,0.592592593,30,0.555555556,62,1.148148148,6,0,1,0,4,0,7,0,0,0,0,0,0,0,1,0,6,0
TX,Fort Worth,418,223,0.533492823,256,0.612440191,479,1.145933014,53,0,13,0,18,0,39,0,3,0,7,0,2,0,1,0,16,0
TX,Arlington,146,78,0.534246575,88,0.602739726,166,1.136986301,19,0,1,0,9,0,12,0,6,0,1,0,2,0,2,0,7,0
GA,Stone Mountain,88,55,0.625,45,0.511363636,100,1.136363636,7,0,0,0,10,0,5,0,2,0,1,0,1,0,0,0,3,0
PA,Reading,61,28,0.459016393,41,0.672131148,69,1.131147541,2,0,0,0,1,0,1,0,2,0,2,0,1,0,2,0,0,0
