datetime,state,city_or_county,rolling_death_count,rolling_injured_count,rolling_armed_robbery_count,rolling_gang_involvement_count,rolling_home_invasion_count,rolling_domestic_violence_count,rolling_road_rage_count,rolling_mass_shooting_count,rolling_teen_incident_count,rolling_drug_raid_count,rolling_suicide_count,date
00:00.0,Pennsylvania,Mckeesport,0,4,0,0,0,0,0,1,0,0,0,1/1/2013
00:00.0,Pennsylvania,Philadelphia,1,7,0,0,0,0,0,2,0,0,0,4/9/2013
00:00.0,Pennsylvania,Chester,2,10,0,0,0,0,0,3,0,0,0,4/28/2013
00:00.0,Pennsylvania,Johnstown,2,14,0,0,0,0,0,4,0,0,0,5/6/2013
00:00.0,Pennsylvania,Philadelphia,2,18,0,0,0,0,0,5,0,0,0,5/11/2013
00:00.0,Pennsylvania,Philadelphia,2,22,0,0,0,0,0,6,0,0,0,5/16/2013
00:00.0,Pennsylvania,York,2,26,0,0,0,0,0,7,0,0,0,6/9/2013
00:00.0,Pennsylvania,Philadelphia,3,26,0,1,0,0,0,7,0,0,0,8/5/2013
00:00.0,Pennsylvania,Saylorsburg,6,30,0,1,0,0,0,8,0,0,0,8/6/2013
00:00.0,Pennsylvania,Philadelphia,6,34,0,1,0,0,0,9,0,0,0,8/13/2013
00:00.0,Pennsylvania,York,7,34,0,1,0,0,0,9,0,0,0,8/17/2013
00:00.0,Pennsylvania,Philadelphia,8,39,0,1,0,0,0,10,0,0,0,10/6/2013
00:00.0,Pennsylvania,Wilkes Barre,9,39,0,1,0,0,0,10,0,0,0,10/13/2013
00:00.0,Pennsylvania,Harrisburg,9,47,0,1,0,0,0,11,0,0,0,10/13/2013
00:00.0,Pennsylvania,Pittsburgh (Homewood),11,52,0,1,0,0,0,12,0,0,0,10/21/2013
00:00.0,Pennsylvania,Philadelphia,11,56,0,1,0,0,0,13,0,0,0,11/21/2013
00:00.0,Pennsylvania,Philadelphia,11,57,0,2,0,0,0,13,0,0,0,11/22/2013
00:00.0,Pennsylvania,Philadelphia,11,58,0,3,0,0,0,13,0,0,0,11/22/2013
00:00.0,Pennsylvania,Derry,12,58,0,3,0,1,0,13,0,0,0,12/1/2013
00:00.0,Pennsylvania,York,13,58,0,3,0,1,0,13,0,0,0,12/7/2013
00:00.0,Pennsylvania,Hazleton,13,58,0,3,0,1,0,13,0,0,0,1/1/2014
00:00.0,Pennsylvania,Philadelphia,13,59,0,3,0,1,0,13,0,0,0,1/1/2014
00:00.0,Pennsylvania,Philadelphia,13,60,0,3,0,1,0,13,0,0,0,1/1/2014
00:00.0,Pennsylvania,Morrisville,13,61,0,3,0,1,0,13,0,0,0,1/1/2014
00:00.0,Pennsylvania,Montgomery County,13,61,1,3,0,1,0,13,0,0,0,1/2/2014
00:00.0,Pennsylvania,Philadelphia,13,62,1,3,1,1,0,13,0,0,0,1/2/2014
00:00.0,Pennsylvania,Lancaster,13,62,1,3,2,1,0,13,0,0,0,1/2/2014
00:00.0,Pennsylvania,Philadelphia,13,63,1,3,2,1,0,13,0,0,0,1/2/2014
00:00.0,Pennsylvania,Dunbar,14,63,1,3,2,1,0,13,0,0,0,1/2/2014
00:00.0,Pennsylvania,Philadelphia,16,63,1,3,2,1,0,13,0,0,0,1/3/2014
